pr_id,title,topics_from_lda
e100,Scratch Wound Healing Assay,"interaction science, 0.99548
interaction science, 0.00045
botany, 0.00045"
e1029,ADCC Assay Protocol,"protein, 0.74729
interaction science, 0.25011
interaction science, 0.00029"
e1072,Catalase Activity Assay in Candida glabrata,"botany, 0.62093
protein, 0.31150
interaction science, 0.06511"
e1077,RNA Isolation and Northern Blot Analysis,"protein, 0.42861
protein, 0.29078
anatomical structure, 0.19362"
e1090,Flow Cytometric Analysis of Autophagic Activity with Cyto-ID Staining in Primary Cells,"interaction science, 0.99796
interaction science, 0.00020
botany, 0.00020"
e1136,Preparation of Parasite Protein Extracts and Western Blot Analysis,"interaction science, 0.62361
protein, 0.37531
cell, 0.00012"
e1180,Macrophage Inflammatory Assay,"interaction science, 0.99850
interaction science, 0.00015
cell, 0.00015"
e1183,Wnt Reporter Activity Assay,"anatomical structure, 0.51405
interaction science, 0.48260
botany, 0.00037"
e122,Intracellular Cytokine (INF-gamma) Staining Assay,"interaction science, 0.54422
interaction science, 0.44998
cell, 0.00064"
e1235,Gentamicin Protection Assay to Determine Bacterial Survival within Macrophages,"interaction science, 0.99524
protein, 0.00048
interaction science, 0.00048"
e1236,Dimethylmethylene Blue Assay (DMMB),"cell, 0.99369
protein, 0.00063
botany, 0.00063"
e1287,Fractionation by Ultracentrifugation of Gram Negative Cytoplasmic and Membrane Proteins,"protein, 0.78754
interaction science, 0.13022
botany, 0.08052"
e1289,Analysis of Intestinal Permeability in Mice,"botany, 0.35128
protein, 0.33789
protein, 0.30612"
e1295,Infectious Focus Assays and Multiplicity of Infection (MOI) Calculations for Alpha-herpesviruses,"interaction science, 0.99821
interaction science, 0.00018
protein, 0.00018"
e1308,Minimal Inhibitory Concentration (MIC) Assay for Acinetobacter baumannii,"interaction science, 0.99638
botany, 0.00036
protein, 0.00036"
e1374,Analysis of Protein Stability by the Cycloheximide Chase Assay,"interaction science, 0.50882
protein, 0.48628
interaction science, 0.00054"
e1428,RNA Isolation from Synechocystis,"protein, 0.99830
interaction science, 0.00017
cell, 0.00017"
e144,Mouse Embryonic Stem Cell Differentiation to Hematopoietic Precursors,"interaction science, 0.99793
cell, 0.00021
protein, 0.00021"
e1467,Measurement of Chlorophyll a and Carotenoids Concentration in Cyanobacteria,"interaction science, 0.99531
protein, 0.00047
botany, 0.00047"
e1471,Murine Liver Myeloid Cell Isolation Protocol,"cell, 0.99902
protein, 0.00010
interaction science, 0.00010"
e1569,Isolation of Rhizosphere Bacterial Communities from Soil,"botany, 0.99874
protein, 0.00013
cell, 0.00013"
e16,Spot Assay for Yeast,"interaction science, 0.82449
botany, 0.16312
protein, 0.00138"
e162,Alcian Blue – Alizarin Red Staining of Mouse Skeleton,"interaction science, 0.99456
interaction science, 0.00054
cell, 0.00054"
e172,"Culture, Differentiation and Transfection of C2C12 Myoblasts","interaction science, 0.99203
cell, 0.00080
botany, 0.00080"
e1797,Preparation and Immunofluorescence Staining of the Trachea in Drosophila Larvae and Pupae,"interaction science, 0.99924
food, 0.00008
cell, 0.00008"
