pr_id,title,categories,Topics Predicted,max similarity,min similarity,mean similarity,median similarity
e1029,ADCC Assay Protocol,"Immunology
Cytotoxicity","protein
biological process
process
carbon dioxide transmembrane transport
death
cellular response to carbon dioxide
response to carbon dioxide",1.4403615823901665,0.9295359586241757,1.184948770507171,1.184948770507171
e1072,Catalase Activity Assay in Candida glabrata,"Activity
Microbiology
Biochemistry
Protein","botany
protein
chemistry
chemical substance
chemical compound
group or class of proteins
cell type",3.6375861597263857,1.55814461804655,2.4407132240308744,2.283561059175281
e1077,RNA Isolation and Northern Blot Analysis,"Molecular Biology
Microbiology
RNA","protein
biological process
process
chemical compound
chemical substance
chemistry
science",2.538973871058276,2.0281482472922856,2.1984234552142823,2.0281482472922856
e1090,Flow Cytometric Analysis of Autophagic Activity with Cyto-ID Staining in Primary Cells,Microbiology,"interaction science
chemical compound
process
biological process
glucose
concept
interaction science",1.3350010667323402,1.3350010667323402,1.3350010667323402,1.3350010667323402
e1136,Preparation of Parasite Protein Extracts and Western Blot Analysis,"Microbiology
Biochemistry
Protein","interaction science
protein
chemical compound
materials science
protein
technology
cell biology",3.6375861597263857,0.8649974374866046,1.7891936782331983,0.8649974374866046
e1180,Macrophage Inflammatory Assay,"Macrophage
Cytokine
Immunology","interaction science
protein
group or class of proteins
psychology
pharmacology
cell type
area of mathematics",2.9444389791664407,1.072636802264849,2.185349884163189,2.538973871058276
e1183,Wnt Reporter Activity Assay,"Development
Ligand
Stem Cell","anatomical structure
interaction science
chemical compound
carbon dioxide
cell type
gas
cell",1.6916760106710724,0.9295359586241757,1.318737678675863,1.3350010667323402
e122,Intracellular Cytokine (INF-gamma) Staining Assay,"Biochemistry
Immunology
Protein","interaction science
interaction science
cell type
cell
chemical compound
cytology
anatomical structure",2.2512917986064953,1.6916760106710724,1.9295981665919661,1.845826690498331
e1235,Gentamicin Protection Assay to Determine Bacterial Survival within Macrophages,"Microbiology
Immunology
General","interaction science
chemical compound
chemical substance
L-Glutamine
medication
cell type
water",1.072636802264849,0.8043728156701697,0.9140023518072078,0.8649974374866046
e1236,Dimethylmethylene Blue Assay (DMMB),"Glycoprotein
Polysaccharide
Carbohydrate
Biochemistry","cell
glycine
chemical substance
medication
chemical compound
water
dihydrogen chalcogenide",2.2512917986064953,0.8649974374866046,1.7475660434709293,1.9369874688953082
e1287,Fractionation by Ultracentrifugation of Gram Negative Cytoplasmic and Membrane Proteins,"Microbiology
Biochemistry
Protein","protein
protein
anthropology
chemical compound
chemical substance
biopolymer
pharmacology",3.6375861597263857,1.6916760106710724,2.391696286965263,1.845826690498331
e1295,Infectious Focus Assays and Multiplicity of Infection (MOI) Calculations for Alpha-herpesviruses,"Virus
Microbiology","interaction science
chemical substance
cell
chemical compound
cytology
cell type
taxon",2.538973871058276,1.4403615823901665,1.9896677267242213,1.9896677267242213
e1308,Minimal Inhibitory Concentration (MIC) Assay for Acinetobacter baumannii,Microbiology,"interaction science
visual perception
psychology terminology
behavior
biological process
eye
occupation",1.072636802264849,1.072636802264849,1.072636802264849,1.072636802264849
e1374,Analysis of Protein Stability by the Cycloheximide Chase Assay,"Molecular Biology
Synthesis
Biochemistry
Detection
Protein","interaction science
protein
protein
chemical compound
biological process
chemical substance
specialty",3.6375861597263857,0.9295359586241757,1.7528994422390078,1.2396908869280152
e1428,RNA Isolation from Synechocystis,"Molecular Biology
Microbiology
RNA","protein
process
biological process
chemical compound
occurrence
technique
cell",2.538973871058276,1.1526795099383855,1.6147776303116823,1.1526795099383855
e144,Mouse Embryonic Stem Cell Differentiation to Hematopoietic Precursors,Stem Cell,"interaction science
chemical substance
physics
product
chemical compound
water
cell type",1.55814461804655,1.55814461804655,1.55814461804655,1.55814461804655
e1467,Measurement of Chlorophyll a and Carotenoids Concentration in Cyanobacteria,"Chlorophyll
Carotenoid
Microbiology
Biochemistry","interaction science
chemical compound
photon
type of quantum particle
methanol
sociology
mathematical analysis",2.2512917986064953,1.6916760106710724,1.8701176276117426,1.7687513505847017
e1471,Murine Liver Myeloid Cell Isolation Protocol,Immunology,"cell
biology
biological process
life
science
organism
cell biology",2.0281482472922856,2.0281482472922856,2.0281482472922856,2.0281482472922856
e1569,Isolation of Rhizosphere Bacterial Communities from Soil,"Bacterium
Microbiology","botany
construction
agriculture
biology
science
intentional human action
economic branch",2.9444389791664407,1.1526795099383855,2.048559244552413,2.048559244552413
e16,Spot Assay for Yeast,Microbiology,"interaction science
chemical compound
cell type
chemical substance
ethanol
cell
water",0.8649974374866046,0.8649974374866046,0.8649974374866046,0.8649974374866046
e162,Alcian Blue – Alizarin Red Staining of Mouse Skeleton,Morphogenesis,"interaction science
chemical substance
chemical compound
medication
chemistry
ethanol
acetic acid",1.4403615823901665,1.4403615823901665,1.4403615823901665,1.4403615823901665
e172,"Culture, Differentiation and Transfection of C2C12 Myoblasts","Molecular Biology
DNA","interaction science
cell
cell line
cell biology
cytology
cell type
unit",2.538973871058276,1.1526795099383855,1.8458266904983307,1.8458266904983307
e1797,Preparation and Immunofluorescence Staining of the Trachea in Drosophila Larvae and Pupae,"Morphogenesis
Metamorphosis","interaction science
chemical substance
physics
philosophy
protein
anatomical structure
behavioural sciences",1.55814461804655,1.4403615823901665,1.4992531002183582,1.4992531002183582
e186,Analysis of Mouse Liver Glycogen Content,"Carbohydrate
Glycogen
Biochemistry","anatomical structure
chemical compound
chemical substance
cell
water
carbon dioxide
glucose",2.2512917986064953,0.8649974374866046,1.6540386421971436,1.845826690498331
e187,Clonogenic Assay,Cell death,"chemistry
interaction science
communication medium
pharmacology
physics
media history
chemical substance",1.2396908869280152,1.2396908869280152,1.2396908869280152,1.2396908869280152
e191,c-Fos and Arc Immunohistochemistry on Rat Cerebellum,"Morphogenesis
Neuroscience","protein
chemical substance
chemistry
anatomical structure
chemical compound
product
protein",1.845826690498331,1.4403615823901665,1.6430941364442488,1.6430941364442488
e1912,BODIPY 493/503 Staining of Neutral Lipid Droplets for Microscopy and Quantification by Flow Cytometry,"Biochemistry
Lipid","interaction science
chemistry
chemical compound
L-Glutamine
science
software
biological process",2.538973871058276,2.2512917986064953,2.3951328348323857,2.3951328348323857
e195,Propidium Iodide Staining of Cells for FACS Analysis,Nucleic acid,"interaction science
chemical compound
ethanol
biological process
DNA
DNA transport
DNA metabolic process",2.2512917986064953,2.2512917986064953,2.2512917986064953,2.2512917986064953
e2045,Vascular Smooth Muscle Cell Isolation and Culture from Mouse Aorta,Angiogenesis,"cell
chemical substance
chemical compound
protein
physics
anatomical structure
cell type",1.4403615823901665,1.4403615823901665,1.4403615823901665,1.4403615823901665
e212,In vitro Protein Kinase Assay Using Yeast Sch9,"Activity
Molecular Biology
Microbiology
Biochemistry
Expression
Protein","interaction science
chemical compound
protein
cell type
sodium lauryl sulfate
sirolimus
gel",3.6375861597263857,1.3350010667323402,2.2288887589340733,1.971483904638784
